id,sequence_number,cue_number,name,fade,delay,trigger,command,part,fixture_ids,channel_ids,patch_target_keys,fixture_details,references,source_file,is_main_cue_list
cue:2:83:Tram_Analyz_main_sequences.xml:87,2,83,Jirka pryc,6,,,,,104 105,,fixture:104 | fixture:105,104 | RSpiide3 4 | 7 Robin Spiider Mode 3 | 4.100 || 105 | RSpiide3 5 | 7 Robin Spiider Mode 3 | 4.133,,exports\Tram_Analyz_main_sequences.xml,True
cue:2:84:Tram_Analyz_main_sequences.xml:88,2,84,TMA,14,,,,,40 2 3 4 5 6 7 8 101 102 103 106 201 202,,fixture:40 | subfixture:40:2 | subfixture:40:3 | subfixture:40:4 | subfixture:40:5 | subfixture:40:6 | subfixture:40:7 | subfixture:40:8 | fixture:101 | subfixture:101:2 | fixture:102 | subfixture:102:2 | fixture:103 | fixture:106 | fixture:201 | subfixture:201:2 | fixture:202 | subfixture:202:2,40 | Fixture 40 || 2 | Fixture 2 || 3 | Fixture 3 || 4 | Fixture 4 || 5 | Fixture 5 || 6 | Fixture 6 || 7 | Fixture 7 || 8 | Fixture 8 || 101 | Fixture 101 || 102 | Fixture 102 || 103 | RSpiide3 3 | 7 Robin Spiider Mode 3 | 4.067 || 106 | RSpiide3 6 | 7 Robin Spiider Mode 3 | 4.166 || 201 | Fixture 201 || 202 | Fixture 202,,exports\Tram_Analyz_main_sequences.xml,True
cue:2:85:Tram_Analyz_main_sequences.xml:89,2,85,Dekovacka,8,,,,,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 101 102 103 104 105 106 107 108 201 202 1001 1002 1003 1004 1005 1006,1 2 3 4 5 6,fixture:1 | subfixture:1:2 | subfixture:1:3 | subfixture:1:4 | subfixture:1:5 | subfixture:1:6 | subfixture:1:7 | subfixture:1:8 | fixture:2 | subfixture:2:2 | subfixture:2:3 | subfixture:2:4 | subfixture:2:5 | subfixture:2:6 | subfixture:2:7 | subfixture:2:8 | fixture:3 | subfixture:3:2 | subfixture:3:3 | subfixture:3:4 | subfixture:3:5 | subfixture:3:6 | subfixture:3:7 | subfixture:3:8 | fixture:4 | subfixture:4:2 | subfixture:4:3 | subfixture:4:4 | subfixture:4:5 | subfixture:4:6 | subfixture:4:7 | subfixture:4:8 | fixture:5 | subfixture:5:2 | subfixture:5:3 | subfixture:5:4 | subfixture:5:5 | subfixture:5:6 | subfixture:5:7 | subfixture:5:8 | fixture:6 | subfixture:6:2 | subfixture:6:3 | subfixture:6:4 | subfixture:6:5 | subfixture:6:6 | subfixture:6:7 | subfixture:6:8 | fixture:7 | subfixture:7:2 | subfixture:7:3 | subfixture:7:4 | subfixture:7:5 | subfixture:7:6 | subfixture:7:7 | subfixture:7:8 | fixture:8 | subfixture:8:2 | subfixture:8:3 | subfixture:8:4 | subfixture:8:5 | subfixture:8:6 | subfixture:8:7 | subfixture:8:8 | fixture:9 | subfixture:9:2 | subfixture:9:3 | subfixture:9:4 | subfixture:9:5 | subfixture:9:6 | subfixture:9:7 | subfixture:9:8 | fixture:10 | subfixture:10:2 | subfixture:10:3 | subfixture:10:4 | subfixture:10:5 | subfixture:10:6 | subfixture:10:7 | subfixture:10:8 | fixture:11 | subfixture:11:2 | subfixture:11:3 | subfixture:11:4 | subfixture:11:5 | subfixture:11:6 | subfixture:11:7 | subfixture:11:8 | fixture:12 | subfixture:12:2 | subfixture:12:3 | subfixture:12:4 | subfixture:12:5 | subfixture:12:6 | subfixture:12:7 | subfixture:12:8 | fixture:13 | subfixture:13:2 | subfixture:13:3 | subfixture:13:4 | subfixture:13:5 | subfixture:13:6 | subfixture:13:7 | subfixture:13:8 | fixture:14 | subfixture:14:2 | subfixture:14:3 | subfixture:14:4 | subfixture:14:5 | subfixture:14:6 | subfixture:14:7 | subfixture:14:8 | fixture:15 | subfixture:15:2 | subfixture:15:3 | subfixture:15:4 | subfixture:15:5 | subfixture:15:6 | subfixture:15:7 | subfixture:15:8 | fixture:16 | subfixture:16:2 | subfixture:16:3 | subfixture:16:4 | subfixture:16:5 | subfixture:16:6 | subfixture:16:7 | subfixture:16:8 | fixture:17 | subfixture:17:2 | subfixture:17:3 | subfixture:17:4 | subfixture:17:5 | subfixture:17:6 | subfixture:17:7 | subfixture:17:8 | fixture:18 | subfixture:18:2 | subfixture:18:3 | subfixture:18:4 | subfixture:18:5 | subfixture:18:6 | subfixture:18:7 | subfixture:18:8 | fixture:19 | subfixture:19:2 | subfixture:19:3 | subfixture:19:4 | subfixture:19:5 | subfixture:19:6 | subfixture:19:7 | subfixture:19:8 | fixture:20 | subfixture:20:2 | subfixture:20:3 | subfixture:20:4 | subfixture:20:5 | subfixture:20:6 | subfixture:20:7 | subfixture:20:8 | fixture:21 | subfixture:21:2 | subfixture:21:3 | subfixture:21:4 | subfixture:21:5 | subfixture:21:6 | subfixture:21:7 | subfixture:21:8 | fixture:22 | subfixture:22:2 | subfixture:22:3 | subfixture:22:4 | subfixture:22:5 | subfixture:22:6 | subfixture:22:7 | subfixture:22:8 | fixture:23 | subfixture:23:2 | subfixture:23:3 | subfixture:23:4 | subfixture:23:5 | subfixture:23:6 | subfixture:23:7 | subfixture:23:8 | fixture:24 | subfixture:24:2 | subfixture:24:3 | subfixture:24:4 | subfixture:24:5 | subfixture:24:6 | subfixture:24:7 | subfixture:24:8 | fixture:25 | subfixture:25:2 | subfixture:25:3 | subfixture:25:4 | subfixture:25:5 | subfixture:25:6 | subfixture:25:7 | subfixture:25:8 | fixture:26 | subfixture:26:2 | subfixture:26:3 | subfixture:26:4 | subfixture:26:5 | subfixture:26:6 | subfixture:26:7 | subfixture:26:8 | fixture:27 | subfixture:27:2 | subfixture:27:3 | subfixture:27:4 | subfixture:27:5 | subfixture:27:6 | subfixture:27:7 | subfixture:27:8 | fixture:28 | subfixture:28:2 | subfixture:28:3 | subfixture:28:4 | subfixture:28:5 | subfixture:28:6 | subfixture:28:7 | subfixture:28:8 | fixture:29 | subfixture:29:2 | subfixture:29:3 | subfixture:29:4 | subfixture:29:5 | subfixture:29:6 | subfixture:29:7 | subfixture:29:8 | fixture:30 | subfixture:30:2 | subfixture:30:3 | subfixture:30:4 | subfixture:30:5 | subfixture:30:6 | subfixture:30:7 | subfixture:30:8 | fixture:31 | subfixture:31:2 | subfixture:31:3 | subfixture:31:4 | subfixture:31:5 | subfixture:31:6 | subfixture:31:7 | subfixture:31:8 | fixture:32 | subfixture:32:2 | subfixture:32:3 | subfixture:32:4 | subfixture:32:5 | subfixture:32:6 | subfixture:32:7 | subfixture:32:8 | fixture:33 | subfixture:33:2 | subfixture:33:3 | subfixture:33:4 | subfixture:33:5 | subfixture:33:6 | subfixture:33:7 | subfixture:33:8 | fixture:34 | subfixture:34:2 | subfixture:34:3 | subfixture:34:4 | subfixture:34:5 | subfixture:34:6 | subfixture:34:7 | subfixture:34:8 | fixture:35 | subfixture:35:2 | subfixture:35:3 | subfixture:35:4 | subfixture:35:5 | subfixture:35:6 | subfixture:35:7 | subfixture:35:8 | fixture:36 | subfixture:36:2 | subfixture:36:3 | subfixture:36:4 | subfixture:36:5 | subfixture:36:6 | subfixture:36:7 | subfixture:36:8 | fixture:37 | subfixture:37:2 | subfixture:37:3 | subfixture:37:4 | subfixture:37:5 | subfixture:37:6 | subfixture:37:7 | subfixture:37:8 | fixture:38 | subfixture:38:2 | subfixture:38:3 | subfixture:38:4 | subfixture:38:5 | subfixture:38:6 | subfixture:38:7 | subfixture:38:8 | fixture:39 | subfixture:39:2 | subfixture:39:3 | subfixture:39:4 | subfixture:39:5 | subfixture:39:6 | subfixture:39:7 | subfixture:39:8 | fixture:40 | subfixture:40:2 | subfixture:40:3 | subfixture:40:4 | subfixture:40:5 | subfixture:40:6 | subfixture:40:7 | subfixture:40:8 | fixture:101 | subfixture:101:2 | fixture:102 | subfixture:102:2 | fixture:103 | fixture:104 | fixture:105 | fixture:106 | fixture:107 | fixture:108 | fixture:201 | subfixture:201:2 | fixture:202 | subfixture:202:2 | channel:1 | channel:2 | channel:3 | channel:4 | channel:5 | channel:6,1 | Fixture 1 || 2 | Fixture 2 || 3 | Fixture 3 || 4 | Fixture 4 || 5 | Fixture 5 || 6 | Fixture 6 || 7 | Fixture 7 || 8 | Fixture 8 || 9 | Fixture 9 || 10 | Fixture 10 || 11 | Fixture 11 || 12 | Fixture 12 || 13 | Fixture 13 || 14 | Fixture 14 || 15 | Fixture 15 || 16 | Fixture 16 || 17 | Fixture 17 || 18 | Fixture 18 || 19 | Fixture 19 || 20 | Fixture 20 || 21 | Fixture 21 || 22 | Fixture 22 || 23 | Fixture 23 || 24 | Fixture 24 || 25 | Fixture 25 || 26 | Fixture 26 || 27 | Fixture 27 || 28 | Fixture 28 || 29 | Fixture 29 || 30 | Fixture 30 || 31 | Fixture 31 || 32 | Fixture 32 || 33 | Fixture 33 || 34 | Fixture 34 || 35 | Fixture 35 || 36 | Fixture 36 || 37 | Fixture 37 || 38 | Fixture 38 || 39 | Fixture 39 || 40 | Fixture 40 || 101 | Fixture 101 || 102 | Fixture 102 || 103 | RSpiide3 3 | 7 Robin Spiider Mode 3 | 4.067 || 104 | RSpiide3 4 | 7 Robin Spiider Mode 3 | 4.100 || 105 | RSpiide3 5 | 7 Robin Spiider Mode 3 | 4.133 || 106 | RSpiide3 6 | 7 Robin Spiider Mode 3 | 4.166 || 107 | RSpiide3 7 | 7 Robin Spiider Mode 3 | 4.271 || 108 | RSpiide3 8 | 7 Robin Spiider Mode 3 | 4.304 || 201 | Fixture 201 || 202 | Fixture 202 || 1001 || 1002 || 1003 || 1004 || 1005 || 1006,preset:4.10 | preset:0.16 | preset:0.4 | preset:0.65 | preset:0.66 | preset:0.49 | preset:0.6,exports\Tram_Analyz_main_sequences.xml,True
cue:2:85.5:Tram_Analyz_main_sequences.xml:90,2,85.5,Muzikangti pryc jdou dolu,8,,,,,101 102 103 104 105 106 201 202,,fixture:101 | fixture:102 | fixture:103 | fixture:104 | fixture:105 | fixture:106 | fixture:201 | fixture:202,101 | Fixture 101 || 102 | Fixture 102 || 103 | RSpiide3 3 | 7 Robin Spiider Mode 3 | 4.067 || 104 | RSpiide3 4 | 7 Robin Spiider Mode 3 | 4.100 || 105 | RSpiide3 5 | 7 Robin Spiider Mode 3 | 4.133 || 106 | RSpiide3 6 | 7 Robin Spiider Mode 3 | 4.166 || 201 | Fixture 201 || 202 | Fixture 202,,exports\Tram_Analyz_main_sequences.xml,True
cue:2:86:Tram_Analyz_main_sequences.xml:91,2,86,lidi,3,,,,,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 101 102 103 104 105 106 107 108 201 202 1001 1002 1003 1004 1005 1006,1 2 3 4 5 6,fixture:1 | subfixture:1:2 | subfixture:1:3 | subfixture:1:4 | subfixture:1:5 | subfixture:1:6 | subfixture:1:7 | subfixture:1:8 | fixture:2 | subfixture:2:2 | subfixture:2:3 | subfixture:2:4 | subfixture:2:5 | subfixture:2:6 | subfixture:2:7 | subfixture:2:8 | fixture:3 | subfixture:3:2 | subfixture:3:3 | subfixture:3:4 | subfixture:3:5 | subfixture:3:6 | subfixture:3:7 | subfixture:3:8 | fixture:4 | subfixture:4:2 | subfixture:4:3 | subfixture:4:4 | subfixture:4:5 | subfixture:4:6 | subfixture:4:7 | subfixture:4:8 | fixture:5 | subfixture:5:2 | subfixture:5:3 | subfixture:5:4 | subfixture:5:5 | subfixture:5:6 | subfixture:5:7 | subfixture:5:8 | fixture:6 | subfixture:6:2 | subfixture:6:3 | subfixture:6:4 | subfixture:6:5 | subfixture:6:6 | subfixture:6:7 | subfixture:6:8 | fixture:7 | subfixture:7:2 | subfixture:7:3 | subfixture:7:4 | subfixture:7:5 | subfixture:7:6 | subfixture:7:7 | subfixture:7:8 | fixture:8 | subfixture:8:2 | subfixture:8:3 | subfixture:8:4 | subfixture:8:5 | subfixture:8:6 | subfixture:8:7 | subfixture:8:8 | fixture:9 | subfixture:9:2 | subfixture:9:3 | subfixture:9:4 | subfixture:9:5 | subfixture:9:6 | subfixture:9:7 | subfixture:9:8 | fixture:10 | subfixture:10:2 | subfixture:10:3 | subfixture:10:4 | subfixture:10:5 | subfixture:10:6 | subfixture:10:7 | subfixture:10:8 | fixture:11 | subfixture:11:2 | subfixture:11:3 | subfixture:11:4 | subfixture:11:5 | subfixture:11:6 | subfixture:11:7 | subfixture:11:8 | fixture:12 | subfixture:12:2 | subfixture:12:3 | subfixture:12:4 | subfixture:12:5 | subfixture:12:6 | subfixture:12:7 | subfixture:12:8 | fixture:13 | subfixture:13:2 | subfixture:13:3 | subfixture:13:4 | subfixture:13:5 | subfixture:13:6 | subfixture:13:7 | subfixture:13:8 | fixture:14 | subfixture:14:2 | subfixture:14:3 | subfixture:14:4 | subfixture:14:5 | subfixture:14:6 | subfixture:14:7 | subfixture:14:8 | fixture:15 | subfixture:15:2 | subfixture:15:3 | subfixture:15:4 | subfixture:15:5 | subfixture:15:6 | subfixture:15:7 | subfixture:15:8 | fixture:16 | subfixture:16:2 | subfixture:16:3 | subfixture:16:4 | subfixture:16:5 | subfixture:16:6 | subfixture:16:7 | subfixture:16:8 | fixture:17 | subfixture:17:2 | subfixture:17:3 | subfixture:17:4 | subfixture:17:5 | subfixture:17:6 | subfixture:17:7 | subfixture:17:8 | fixture:18 | subfixture:18:2 | subfixture:18:3 | subfixture:18:4 | subfixture:18:5 | subfixture:18:6 | subfixture:18:7 | subfixture:18:8 | fixture:19 | subfixture:19:2 | subfixture:19:3 | subfixture:19:4 | subfixture:19:5 | subfixture:19:6 | subfixture:19:7 | subfixture:19:8 | fixture:20 | subfixture:20:2 | subfixture:20:3 | subfixture:20:4 | subfixture:20:5 | subfixture:20:6 | subfixture:20:7 | subfixture:20:8 | fixture:21 | subfixture:21:2 | subfixture:21:3 | subfixture:21:4 | subfixture:21:5 | subfixture:21:6 | subfixture:21:7 | subfixture:21:8 | fixture:22 | subfixture:22:2 | subfixture:22:3 | subfixture:22:4 | subfixture:22:5 | subfixture:22:6 | subfixture:22:7 | subfixture:22:8 | fixture:23 | subfixture:23:2 | subfixture:23:3 | subfixture:23:4 | subfixture:23:5 | subfixture:23:6 | subfixture:23:7 | subfixture:23:8 | fixture:24 | subfixture:24:2 | subfixture:24:3 | subfixture:24:4 | subfixture:24:5 | subfixture:24:6 | subfixture:24:7 | subfixture:24:8 | fixture:25 | subfixture:25:2 | subfixture:25:3 | subfixture:25:4 | subfixture:25:5 | subfixture:25:6 | subfixture:25:7 | subfixture:25:8 | fixture:26 | subfixture:26:2 | subfixture:26:3 | subfixture:26:4 | subfixture:26:5 | subfixture:26:6 | subfixture:26:7 | subfixture:26:8 | fixture:27 | subfixture:27:2 | subfixture:27:3 | subfixture:27:4 | subfixture:27:5 | subfixture:27:6 | subfixture:27:7 | subfixture:27:8 | fixture:28 | subfixture:28:2 | subfixture:28:3 | subfixture:28:4 | subfixture:28:5 | subfixture:28:6 | subfixture:28:7 | subfixture:28:8 | fixture:29 | subfixture:29:2 | subfixture:29:3 | subfixture:29:4 | subfixture:29:5 | subfixture:29:6 | subfixture:29:7 | subfixture:29:8 | fixture:30 | subfixture:30:2 | subfixture:30:3 | subfixture:30:4 | subfixture:30:5 | subfixture:30:6 | subfixture:30:7 | subfixture:30:8 | fixture:31 | subfixture:31:2 | subfixture:31:3 | subfixture:31:4 | subfixture:31:5 | subfixture:31:6 | subfixture:31:7 | subfixture:31:8 | fixture:32 | subfixture:32:2 | subfixture:32:3 | subfixture:32:4 | subfixture:32:5 | subfixture:32:6 | subfixture:32:7 | subfixture:32:8 | fixture:33 | subfixture:33:2 | subfixture:33:3 | subfixture:33:4 | subfixture:33:5 | subfixture:33:6 | subfixture:33:7 | subfixture:33:8 | fixture:34 | subfixture:34:2 | subfixture:34:3 | subfixture:34:4 | subfixture:34:5 | subfixture:34:6 | subfixture:34:7 | subfixture:34:8 | fixture:35 | subfixture:35:2 | subfixture:35:3 | subfixture:35:4 | subfixture:35:5 | subfixture:35:6 | subfixture:35:7 | subfixture:35:8 | fixture:36 | subfixture:36:2 | subfixture:36:3 | subfixture:36:4 | subfixture:36:5 | subfixture:36:6 | subfixture:36:7 | subfixture:36:8 | fixture:37 | subfixture:37:2 | subfixture:37:3 | subfixture:37:4 | subfixture:37:5 | subfixture:37:6 | subfixture:37:7 | subfixture:37:8 | fixture:38 | subfixture:38:2 | subfixture:38:3 | subfixture:38:4 | subfixture:38:5 | subfixture:38:6 | subfixture:38:7 | subfixture:38:8 | fixture:39 | subfixture:39:2 | subfixture:39:3 | subfixture:39:4 | subfixture:39:5 | subfixture:39:6 | subfixture:39:7 | subfixture:39:8 | fixture:40 | subfixture:40:2 | subfixture:40:3 | subfixture:40:4 | subfixture:40:5 | subfixture:40:6 | subfixture:40:7 | subfixture:40:8 | fixture:101 | subfixture:101:2 | fixture:102 | subfixture:102:2 | fixture:103 | fixture:104 | fixture:105 | fixture:106 | fixture:107 | fixture:108 | fixture:201 | subfixture:201:2 | fixture:202 | subfixture:202:2 | channel:1 | channel:2 | channel:3 | channel:4 | channel:5 | channel:6,1 | Fixture 1 || 2 | Fixture 2 || 3 | Fixture 3 || 4 | Fixture 4 || 5 | Fixture 5 || 6 | Fixture 6 || 7 | Fixture 7 || 8 | Fixture 8 || 9 | Fixture 9 || 10 | Fixture 10 || 11 | Fixture 11 || 12 | Fixture 12 || 13 | Fixture 13 || 14 | Fixture 14 || 15 | Fixture 15 || 16 | Fixture 16 || 17 | Fixture 17 || 18 | Fixture 18 || 19 | Fixture 19 || 20 | Fixture 20 || 21 | Fixture 21 || 22 | Fixture 22 || 23 | Fixture 23 || 24 | Fixture 24 || 25 | Fixture 25 || 26 | Fixture 26 || 27 | Fixture 27 || 28 | Fixture 28 || 29 | Fixture 29 || 30 | Fixture 30 || 31 | Fixture 31 || 32 | Fixture 32 || 33 | Fixture 33 || 34 | Fixture 34 || 35 | Fixture 35 || 36 | Fixture 36 || 37 | Fixture 37 || 38 | Fixture 38 || 39 | Fixture 39 || 40 | Fixture 40 || 101 | Fixture 101 || 102 | Fixture 102 || 103 | RSpiide3 3 | 7 Robin Spiider Mode 3 | 4.067 || 104 | RSpiide3 4 | 7 Robin Spiider Mode 3 | 4.100 || 105 | RSpiide3 5 | 7 Robin Spiider Mode 3 | 4.133 || 106 | RSpiide3 6 | 7 Robin Spiider Mode 3 | 4.166 || 107 | RSpiide3 7 | 7 Robin Spiider Mode 3 | 4.271 || 108 | RSpiide3 8 | 7 Robin Spiider Mode 3 | 4.304 || 201 | Fixture 201 || 202 | Fixture 202 || 1001 || 1002 || 1003 || 1004 || 1005 || 1006,preset:0.16 | preset:0.4,exports\Tram_Analyz_main_sequences.xml,True
cue:3:1:Studio54_all_sequences.xml:1,3,1,Cue 1,,,,,,,,,,,exports\Studio54_all_sequences.xml,False
cue:3:1:Studio54_all_sequences.xml:2,3,1,Cue 1,,,,,,111 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 25 26 27 28 29 30 31 32 112,,fixture:111 | subfixture:111:3 | subfixture:111:4 | subfixture:111:5 | subfixture:111:6 | subfixture:111:7 | subfixture:111:8 | subfixture:111:9 | subfixture:111:10 | subfixture:111:11 | subfixture:111:12 | subfixture:111:13 | subfixture:111:14 | subfixture:111:15 | subfixture:111:16 | subfixture:111:17 | subfixture:111:18 | subfixture:111:20 | subfixture:111:21 | subfixture:111:22 | subfixture:111:23 | subfixture:111:24 | subfixture:111:25 | subfixture:111:26 | subfixture:111:27 | subfixture:111:28 | subfixture:111:29 | subfixture:111:30 | subfixture:111:31 | subfixture:111:32 | fixture:112 | subfixture:112:3 | subfixture:112:4 | subfixture:112:5 | subfixture:112:6 | subfixture:112:7 | subfixture:112:8 | subfixture:112:9 | subfixture:112:10 | subfixture:112:11 | subfixture:112:12 | subfixture:112:13 | subfixture:112:14 | subfixture:112:15 | subfixture:112:16 | subfixture:112:17 | subfixture:112:18 | subfixture:112:20 | subfixture:112:21 | subfixture:112:22 | subfixture:112:23 | subfixture:112:24 | subfixture:112:25 | subfixture:112:26 | subfixture:112:27 | subfixture:112:28 | subfixture:112:29 | subfixture:112:30 | subfixture:112:31 | subfixture:112:32,111 | Fixture 111 || 3 | Fixture 3 || 4 | Fixture 4 || 5 | Fixture 5 || 6 | Fixture 6 || 7 | Fixture 7 || 8 | Fixture 8 || 9 | Fixture 9 || 10 | Fixture 10 || 11 | Fixture 11 || 12 | Fixture 12 || 13 | Fixture 13 || 14 | Fixture 14 || 15 | Fixture 15 || 16 | Fixture 16 || 17 | Fixture 17 || 18 | Fixture 18 || 20 | Fixture 20 || 21 | Fixture 21 || 22 | Fixture 22 || 23 | Fixture 23 || 24 | Fixture 24 || 25 | Fixture 25 || 26 | Fixture 26 || 27 | Fixture 27 || 28 | Fixture 28 || 29 | Fixture 29 || 30 | Fixture 30 || 31 | Fixture 31 || 32 | Fixture 32 || 112 | Fixture 112,,exports\Studio54_all_sequences.xml,False
cue:4:1:Studio54_all_sequences.xml:1,4,1,Cue 1,,,,,,,,,,,exports\Studio54_all_sequences.xml,False
cue:4:1:Studio54_all_sequences.xml:2,4,1,Cue 1,,,,,,1001 1002 1003 1004 1005 1006 1007 1008 1009 1010 1011 1012,1001 1002 1003 1004 1005 1006 1007 1008 1009 1010 1011 1012,channel:1001 | channel:1002 | channel:1003 | channel:1004 | channel:1005 | channel:1006 | channel:1007 | channel:1008 | channel:1009 | channel:1010 | channel:1011 | channel:1012,1001 || 1002 || 1003 || 1004 || 1005 || 1006 || 1007 || 1008 || 1009 || 1010 || 1011 || 1012,,exports\Studio54_all_sequences.xml,False
cue:5:1:Studio54_all_sequences.xml:1,5,1,Cue 1,,,,,,,,,,,exports\Studio54_all_sequences.xml,False
cue:5:1:Studio54_all_sequences.xml:2,5,1,Cue 1,,,,,,999,999,channel:999,999,,exports\Studio54_all_sequences.xml,False
cue:6:1:Studio54_all_sequences.xml:1,6,1,Cue 1,,,,,,,,,,,exports\Studio54_all_sequences.xml,False
cue:6:1:Studio54_all_sequences.xml:2,6,1,Cue 1,,,,,,41 42 43 44 45 46 47 48 49 50 51 52,,fixture:41 | fixture:42 | fixture:43 | fixture:44 | fixture:45 | fixture:46 | fixture:47 | fixture:48 | fixture:49 | fixture:50 | fixture:51 | fixture:52,41 | RLB350M1 1 | 12 Robin LEDBeam 350 Mode 1 | 13.001 || 42 | RLB350M1 2 | 12 Robin LEDBeam 350 Mode 1 | 13.023 || 43 | RLB350M1 3 | 12 Robin LEDBeam 350 Mode 1 | 13.045 || 44 | RLB350M1 4 | 12 Robin LEDBeam 350 Mode 1 | 13.067 || 45 | RLB350M1 5 | 12 Robin LEDBeam 350 Mode 1 | 13.089 || 46 | RLB350M1 6 | 12 Robin LEDBeam 350 Mode 1 | 13.111 || 47 | RLB350M1 7 | 12 Robin LEDBeam 350 Mode 1 | 5.001 || 48 | RLB350M1 8 | 12 Robin LEDBeam 350 Mode 1 | 5.023 || 49 | RLB350M1 9 | 12 Robin LEDBeam 350 Mode 1 | 5.045 || 50 | RLB350M1 10 | 12 Robin LEDBeam 350 Mode 1 | 5.067 || 51 | RLB350M1 11 | 12 Robin LEDBeam 350 Mode 1 | 5.089 || 52 | RLB350M1 12 | 12 Robin LEDBeam 350 Mode 1 | 5.111,,exports\Studio54_all_sequences.xml,False
cue:7:1:Studio54_all_sequences.xml:1,7,1,Cue 1,,,,,,,,,,,exports\Studio54_all_sequences.xml,False
cue:7:1:Studio54_all_sequences.xml:2,7,1,Cue 1,,,,,,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18,channel:1 | channel:2 | channel:3 | channel:4 | channel:5 | channel:6 | channel:7 | channel:8 | channel:9 | channel:10 | channel:11 | channel:12 | channel:13 | channel:14 | channel:15 | channel:16 | channel:17 | channel:18,1 | Fixture 1 || 2 | Fixture 2 || 3 | Fixture 3 || 4 | Fixture 4 || 5 | Fixture 5 || 6 | Fixture 6 || 7 | Fixture 7 || 8 | Fixture 8 || 9 | Fixture 9 || 10 | Fixture 10 || 11 | Fixture 11 || 12 | Fixture 12 || 13 | Fixture 13 || 14 | Fixture 14 || 15 | Fixture 15 || 16 | Fixture 16 || 17 | Fixture 17 || 18 | Fixture 18,,exports\Studio54_all_sequences.xml,False
cue:8:1:Studio54_all_sequences.xml:1,8,1,Cue 1,,,,,,,,,,,exports\Studio54_all_sequences.xml,False
cue:8:1:Studio54_all_sequences.xml:2,8,1,Cue 1,,,,,,4,,fixture:4,4 | Fixture 4,,exports\Studio54_all_sequences.xml,False
cue:9:1:Studio54_all_sequences.xml:1,9,1,Cue 1,,,,,,,,,,,exports\Studio54_all_sequences.xml,False
cue:9:1:Studio54_all_sequences.xml:2,9,1,Cue 1,,,,,,4,,fixture:4,4 | Fixture 4,,exports\Studio54_all_sequences.xml,False
cue:10:1:Studio54_main_sequences.xml:1,10,1,Cue 1,,,,,,,,,,,exports\Studio54_main_sequences.xml,True
