sequence_number,sequence_name,cue_number,cue_name,attribute,raw_value,value_type,fixture_id,fixture_name,fixture_type,fixture_patch,reference_target,flags,source_path,is_hard_value,source_file
0,Main QJU,0,Cue Zero,OFFSETSHAPE,0,hard,3,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,BACKGROUNDSEL,0,hard,3,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,DIMMSHAPE,0,hard,3,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,DIMMERBG,0,hard,3,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,FOREGROUNDSTROBE,0,hard,3,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,BACKGROUNDSTROBE,0,hard,3,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,PAN,0.0041199359,hard,3,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,TILT,0.002059968,hard,3,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,POSITIONMSPEED,0,hard,3,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,LAMPCONTROL,0,hard,3,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,COLORMIXER,0,hard,3,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,COLORRGB1,100,hard,3,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,COLORRGB2,100,hard,3,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,COLORRGB3,100,hard,3,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,COLORRGB5,100,hard,3,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,CTC,0,hard,3,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,COLORMIXMODE,0,hard,3,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,SHAPESEL,0,hard,3,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,SHAPESPEED,0,hard,3,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,SHAPEFADE,0,hard,3,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,FLOWEREFFECT,0,hard,3,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,REDSHAPE,100,hard,3,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,GREENSHAPE,100,hard,3,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,BLUESHAPE,100,hard,3,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,WHITESHAPE,100,hard,3,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,FLOWERCOLORMACROS,0,hard,3,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,FLOWERSTROBE,18.630159,hard,3,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,FLOWERDIMMER,0,hard,3,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,ZOOM,49.999237,hard,3,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,SHUTTER,18.897638,hard,3,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,DIM,0,hard,4,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,SPLITFADE,0,hard,4,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,OFFSETSHAPE,0,hard,4,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,BACKGROUNDSEL,0,hard,4,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,DIMMSHAPE,0,hard,4,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,DIMMERBG,0,hard,4,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,FOREGROUNDSTROBE,0,hard,4,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,BACKGROUNDSTROBE,0,hard,4,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,PAN,0.0041199359,hard,4,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,TILT,0.002059968,hard,4,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,POSITIONMSPEED,0,hard,4,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,LAMPCONTROL,0,hard,4,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,COLORMIXER,0,hard,4,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,COLORRGB1,100,hard,4,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,COLORRGB2,100,hard,4,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,COLORRGB3,100,hard,4,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,COLORRGB5,100,hard,4,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,CTC,0,hard,4,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,COLORMIXMODE,0,hard,4,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,SHAPESEL,0,hard,4,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,SHAPESPEED,0,hard,4,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,SHAPEFADE,0,hard,4,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,FLOWEREFFECT,0,hard,4,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,REDSHAPE,100,hard,4,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,GREENSHAPE,100,hard,4,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,BLUESHAPE,100,hard,4,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,WHITESHAPE,100,hard,4,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,FLOWERCOLORMACROS,0,hard,4,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,FLOWERSTROBE,18.630159,hard,4,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,FLOWERDIMMER,0,hard,4,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,ZOOM,49.999237,hard,4,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,SHUTTER,18.897638,hard,4,RSpiide3 4,6 SPIIDER 33CH Mode 3,3.067,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,DIM,0,hard,5,RSpiide3 5,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,SPLITFADE,0,hard,5,RSpiide3 5,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,OFFSETSHAPE,0,hard,5,RSpiide3 5,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,BACKGROUNDSEL,0,hard,5,RSpiide3 5,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,DIMMSHAPE,0,hard,5,RSpiide3 5,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,DIMMERBG,0,hard,5,RSpiide3 5,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,FOREGROUNDSTROBE,0,hard,5,RSpiide3 5,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,BACKGROUNDSTROBE,0,hard,5,RSpiide3 5,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,PAN,0.0041199359,hard,5,RSpiide3 5,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,TILT,0.002059968,hard,5,RSpiide3 5,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,POSITIONMSPEED,0,hard,5,RSpiide3 5,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,LAMPCONTROL,0,hard,5,RSpiide3 5,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,COLORMIXER,0,hard,5,RSpiide3 5,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,COLORRGB1,100,hard,5,RSpiide3 5,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,COLORRGB2,100,hard,5,RSpiide3 5,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,COLORRGB3,100,hard,5,RSpiide3 5,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,COLORRGB5,100,hard,5,RSpiide3 5,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,CTC,0,hard,5,RSpiide3 5,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,COLORMIXMODE,0,hard,5,RSpiide3 5,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
