sequence_number,sequence_name,cue_number,cue_name,trigger,fade,delay,command,fixture_ids,fixture_details,references,preset_refs,effect_refs,group_refs,hard_value_count,hard_value_attributes,hard_value_preview,source_file
1,Sequence 1,0,Cue 0,,,,,"[1, 2, 3, 4, 5, 6, 7, 8, 222, 21, 22, 23, 24, 31, 32, 25, 26, 27, 28, 41, 42, 43, 51, 52, 53, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 29, 30, 33, 34, 35, 36, 37, 38, 54, 87, 1002, 1001, 86, 85, 84, 83, 82, 81, 76, 74, 73, 72, 71, 68, 67, 66, 65, 64, 63, 62, 61, 44, 40, 39]","[""1 | RSpiide3 1"", ""2 | RSpiide3 2"", ""3 | RSpiide3 3"", ""4 | RSpiide3 4"", ""5 | RSpiide3 5"", ""6 | RSpiide3 6"", ""7 | RSpiide3 7"", ""8 | RSpiide3 8"", ""222 | R3LEDWm2 1"", ""21 | Sp30012 1"", ""22 | Sp30012 2"", ""23 | Sp30012 3"", ""24 | Sp30012 4"", ""31 | NP300cR 1"", ""32 | NP300cR 2"", ""25 | Sp30012 5"", ""26 | Sp30012 6"", ""27 | Sp30012 7"", ""28 | Sp30012 8"", ""41 | RPointe1 1"", ""42 | RPointe1 2"", ""43 | RPointe1 3"", ""51 | LUMI 1"", ""52 | LUMI 2"", ""53 | LUMI 3"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""29"", ""30"", ""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""54"", ""87"", ""1002"", ""1001"", ""86"", ""85"", ""84"", ""83"", ""82"", ""81"", ""76"", ""74"", ""73"", ""72"", ""71"", ""68"", ""67"", ""66"", ""65"", ""64"", ""63"", ""62"", ""61"", ""44"", ""40"", ""39""]",[],[],[],[],11,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0.0041199359"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0.002059968"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""100"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""18.630159"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""49.999237"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""18.897638"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0.0034332799"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0.0022888533"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""50.000763"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""43.945313"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
1,Sequence 1,1,Cue 1,,,,,"[7, 8]","[""7 | RSpiide3 7"", ""8 | RSpiide3 8""]",[],[],[],[],14,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""odchazi z ulice ==="", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""1"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""49"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""56.704136"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""-98.547897"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""99.999992"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""18.181826"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""9.9999997e-06"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""100"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""18.630159"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""18.897638"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""-56.695896"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
1,Sequence 1,2,Cue 2,,,,,"[1, 3, 4, 5, 6, 222, 21, 22, 23, 24, 25, 26, 27, 28, 2, 29, 30, 31, 33, 34, 35, 36, 37, 38, 1002, 1001, 44, 43, 42, 41, 40, 39]","[""1 | RSpiide3 1"", ""3 | RSpiide3 3"", ""4 | RSpiide3 4"", ""5 | RSpiide3 5"", ""6 | RSpiide3 6"", ""222 | R3LEDWm2 1"", ""21 | Sp30012 1"", ""22 | Sp30012 2"", ""23 | Sp30012 3"", ""24 | Sp30012 4"", ""25 | Sp30012 5"", ""26 | Sp30012 6"", ""27 | Sp30012 7"", ""28 | Sp30012 8"", ""2 | RSpiide3 2"", ""29"", ""30"", ""31 | NP300cR 1"", ""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""1002"", ""1001"", ""44"", ""43 | RPointe1 3"", ""42 | RPointe1 2"", ""41 | RPointe1 1"", ""40"", ""39""]","[""preset:1.8701264"", ""preset:13.675235"", ""preset:4.5034332""]","[""preset:1.8701264"", ""preset:13.675235"", ""preset:4.5034332""]",[],[],51,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""1"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""4"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""7"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0.004119873"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""-78.29792"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""99.999977"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""41.27076"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""100"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""61.25"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""5"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""-8.0958815"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""-55.347923"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""21.604122"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""48"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""45.902054"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""79.48716"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""49.378399"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""9.9999997e-06"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
1,Sequence 1,3,Cue 3,,,,,"[3, 222, 2, 6, 28, 29, 30, 31]","[""3 | RSpiide3 3"", ""222 | R3LEDWm2 1"", ""2 | RSpiide3 2"", ""6 | RSpiide3 6"", ""28 | Sp30012 8"", ""29"", ""30"", ""31 | NP300cR 1""]",[],[],[],[],3,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""100"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""20"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
1,Sequence 1,4,Cue 4,,,,,"[3, 2, 6, 28, 29, 30, 31]","[""3 | RSpiide3 3"", ""2 | RSpiide3 2"", ""6 | RSpiide3 6"", ""28 | Sp30012 8"", ""29"", ""30"", ""31 | NP300cR 1""]",[],[],[],[],5,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""100"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""48.25"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""40"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""39"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""54.25"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
1,Sequence 1,5,Cue 5,,,,,"[3, 4, 5, 6, 222, 21, 22, 23, 24, 25, 26, 27, 28, 2, 29, 30, 31, 33, 34, 35, 36, 37, 38, 1002, 1001, 44, 43, 42, 41, 40, 39]","[""3 | RSpiide3 3"", ""4 | RSpiide3 4"", ""5 | RSpiide3 5"", ""6 | RSpiide3 6"", ""222 | R3LEDWm2 1"", ""21 | Sp30012 1"", ""22 | Sp30012 2"", ""23 | Sp30012 3"", ""24 | Sp30012 4"", ""25 | Sp30012 5"", ""26 | Sp30012 6"", ""27 | Sp30012 7"", ""28 | Sp30012 8"", ""2 | RSpiide3 2"", ""29"", ""30"", ""31 | NP300cR 1"", ""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""1002"", ""1001"", ""44"", ""43 | RPointe1 3"", ""42 | RPointe1 2"", ""41 | RPointe1 1"", ""40"", ""39""]",[],[],[],[],18,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""55.5"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""-126.89592"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""-20.247931"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""46.5"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0.0041199359"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""20.252062"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""63"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""86.324791"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""99.999992"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""92.126396"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""9.9999997e-06"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""86.324783"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""92.126389"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""35"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""40"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""19"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""24.25"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
1,Sequence 1,6,Cue 6,,,,,"[2, 4, 5, 222]","[""2 | RSpiide3 2"", ""4 | RSpiide3 4"", ""5 | RSpiide3 5"", ""222 | R3LEDWm2 1""]","[""preset:13.414124"", ""preset:3.1520615""]","[""preset:13.414124"", ""preset:3.1520615""]",[],[],22,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""59.25"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""-24.83588"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""-28.347946"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""79.48716"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""1"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""4"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""49.378399"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""9.9999997e-06"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""20.512842"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""63"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0.0041199359"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""7"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""27.002064"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""100"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""79.487152"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""49.378403"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""1.9999998e-05"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""20.512848"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
1,Sequence 1,7,Cue 7,,,,,"[1, 3, 4, 5, 6, 7, 8, 222, 21, 22, 23, 24, 25, 26, 27, 28, 2, 33, 34, 35, 36, 37, 38, 44, 43, 42, 41, 40, 39]","[""1 | RSpiide3 1"", ""3 | RSpiide3 3"", ""4 | RSpiide3 4"", ""5 | RSpiide3 5"", ""6 | RSpiide3 6"", ""7 | RSpiide3 7"", ""8 | RSpiide3 8"", ""222 | R3LEDWm2 1"", ""21 | Sp30012 1"", ""22 | Sp30012 2"", ""23 | Sp30012 3"", ""24 | Sp30012 4"", ""25 | Sp30012 5"", ""26 | Sp30012 6"", ""27 | Sp30012 7"", ""28 | Sp30012 8"", ""2 | RSpiide3 2"", ""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""44"", ""43 | RPointe1 3"", ""42 | RPointe1 2"", ""41 | RPointe1 1"", ""40"", ""39""]","[""preset:10.606071"", ""preset:13.414124"", ""preset:13.675219""]","[""preset:10.606071"", ""preset:13.414124"", ""preset:13.675219""]",[],[],30,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""LOLO"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""100"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""1"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""4"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""7"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""-18.895878"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""-48.597931"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""79.48716"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""49.378399"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""9.9999997e-06"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""20.512842"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""18.904118"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""48"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""21.604122"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""45.902054"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""99.999992"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0.004119873"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""-44.547966"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
1,Sequence 1,8,Cue 8,,,,,"[21, 22, 23, 24, 13, 14, 15, 16, 17, 18, 33, 34, 35, 36, 37, 38, 44, 43, 42, 41, 40, 39]","[""21 | Sp30012 1"", ""22 | Sp30012 2"", ""23 | Sp30012 3"", ""24 | Sp30012 4"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""44"", ""43 | RPointe1 3"", ""42 | RPointe1 2"", ""41 | RPointe1 1"", ""40"", ""39""]","[""preset:1.7094114""]","[""preset:1.7094114""]",[],[],12,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""Jede Tram"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""99.999992"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""41.919201"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""9.9999997e-06"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""100"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""5"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""4"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""3"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""2"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""1"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""20"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
1,Sequence 1,9,Cue 9,,,,,"[7, 8, 9, 10, 11, 12]","[""7 | RSpiide3 7"", ""8 | RSpiide3 8"", ""9"", ""10"", ""11"", ""12""]",[],[],[],[],7,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""100"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""5"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""4"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""3"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""2"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""1"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
1,Sequence 1,10,Cue 10,,,,,"[2, 7, 8, 222, 1, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 51, 52, 53, 54]","[""2 | RSpiide3 2"", ""7 | RSpiide3 7"", ""8 | RSpiide3 8"", ""222 | R3LEDWm2 1"", ""1 | RSpiide3 1"", ""3 | RSpiide3 3"", ""4 | RSpiide3 4"", ""5 | RSpiide3 5"", ""6 | RSpiide3 6"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""51 | LUMI 1"", ""52 | LUMI 2"", ""53 | LUMI 3"", ""54""]",[],[],[],[],16,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""79.48716"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""1"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""4"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""49.378399"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""9.9999997e-06"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""20.512842"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""53"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""79.487152"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""49.378403"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""1.9999998e-05"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""20.512848"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""43"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""100"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""50"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""30"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
1,Sequence 1,11,Cue 11,,,,,"[1, 2, 3, 4, 5, 6, 7, 8, 222, 21, 22, 23, 24, 31, 32, 25, 26, 27, 28, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 29, 30, 33, 34, 35, 36, 37, 38, 51, 52, 53, 54, 65, 44, 43, 42, 41, 40, 39]","[""1 | RSpiide3 1"", ""2 | RSpiide3 2"", ""3 | RSpiide3 3"", ""4 | RSpiide3 4"", ""5 | RSpiide3 5"", ""6 | RSpiide3 6"", ""7 | RSpiide3 7"", ""8 | RSpiide3 8"", ""222 | R3LEDWm2 1"", ""21 | Sp30012 1"", ""22 | Sp30012 2"", ""23 | Sp30012 3"", ""24 | Sp30012 4"", ""31 | NP300cR 1"", ""32 | NP300cR 2"", ""25 | Sp30012 5"", ""26 | Sp30012 6"", ""27 | Sp30012 7"", ""28 | Sp30012 8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""29"", ""30"", ""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""51 | LUMI 1"", ""52 | LUMI 2"", ""53 | LUMI 3"", ""54"", ""65"", ""44"", ""43 | RPointe1 3"", ""42 | RPointe1 2"", ""41 | RPointe1 1"", ""40"", ""39""]","[""preset:10.804119"", ""preset:4.3520813""]","[""preset:10.804119"", ""preset:4.3520813""]",[],[],69,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""postel hotova - pripadne holky vćhazeji"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""81"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""1"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""50"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""-13.495881"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""-44.54792"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""79.48716"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""4"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""49.378399"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""9.9999997e-06"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""20.512842"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""100"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""18.630159"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""82.5"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""18.897638"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""10"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""-13.495879"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""-39.147926"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
1,Sequence 1,12,Cue 12,Follow,,,,"[4, 5, 6, 7, 8, 33, 34, 35, 36, 37, 38, 64, 63, 62]","[""4 | RSpiide3 4"", ""5 | RSpiide3 5"", ""6 | RSpiide3 6"", ""7 | RSpiide3 7"", ""8 | RSpiide3 8"", ""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""64"", ""63"", ""62""]",[],[],[],[],4,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""79.75"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""59.25"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""29.25"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""42.537506"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
1,Sequence 1,13,Cue 13,,,,,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[""2 | RSpiide3 2"", ""3 | RSpiide3 3"", ""4 | RSpiide3 4"", ""5 | RSpiide3 5"", ""6 | RSpiide3 6"", ""7 | RSpiide3 7"", ""8 | RSpiide3 8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17""]",[],[],[],[],1,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
1,Sequence 1,14,Cue 14,,,,,"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 65]","[""7 | RSpiide3 7"", ""8 | RSpiide3 8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""65""]",[],[],[],[],5,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""jde z pravych zadnich dveri"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""53.25"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""30"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""77.25"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
1,Sequence 1,15,Cue 15,,,,,"[7, 8, 9, 10, 11, 12]","[""7 | RSpiide3 7"", ""8 | RSpiide3 8"", ""9"", ""10"", ""11"", ""12""]",[],[],[],[],2,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""94.75"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""97.5"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
